№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
12,С-49-97 08.12.00  16.12.15,"Уч.Рудничный-глиеж поля шахты,         Баткенская обл.,                           Кадамжайский р-н","АО ""КЫЗЫЛ-КИЯ-КОМУР",,,уголь,Р,,,,,,,,,,,,,,Аннулирована.протокол №147-АН-10             12.03.10г.,,,,,,,,,,,
13,НГ-50-01 от 14.02.01-14.02.03г  (2909-НП)  30.03.11 - 31.12.12 №00534 продление срока от 23.07.13 до 31.12.17 Бл.№00511,Чарвакская пл,"ЗАО  ""ТЕКСТОНИК""",   Жалалабатская обл.                             Сузакский р-н,№9 23.07.13г.-31.12.17г.,нефть и газ,П,"79528,0 га","К-43-98, К-43-99, К-43-110",Пр. заседания Комиссии. № 04-Н-11 от 22.03.11,"Джалал-Абадская обл., г. Кочкор Ата, ул. Транспортная, тел. 0555715618, исп. Дир. Чжан Цзе","ОсОО ""Сань Шань Юань"" - 100%",,,,Перв.РОК       1299002790034661 кв.№2304051   02.08.13г.,,,,КНР,Аннулирована. Протокол №514-Н-17 от 01.11.17,,,,,,,,,,,
14,С-50-02 15.03.02  02.04.12,Уч.№1 Керегеташ Западный,"КХ ""Муратбек""", Жалалабатская обл. ,№3 до             02.04.12 г,уголь,Р,,,Протокол №47-Н-02                    от 15.03.2002 г,"Ошская обл. Узгенский р-н, с. Жийде, рук. Кулмамбеков М.",Крестьянское хозяйство,,,,,,,,,Аннулирована.Протокол №181-АН-11 от 16.06.11г.,,,,,,,,,,,
15,ГГ-53-00        29.05.00     18.05.12, скв.№6к. ,"ОсОО ""Ширван""",Иссык-Атинское м-е ТМВ,,минераль ная вода,Е,,,,"г. Кант, ул. Ленина,46, тел. 20359, рук. Н.М.Мамедов",,,,,,,,,,Аннулирована,,,,,,,,,,,
16,НМ-64-99  14.07.99  31.12.11    Продление срока  04.07.12г.- 31.12.12г. № 00063 Продление срока 15.01.13 г. до 31.12.15 г. № 00598,"Площади строительства прудов, песок","ОсОО ""Кум"""," Чуйская обл., Аламудунский р-н",№5 15.01.13 - 31.12.15г.,строительный песок,Е,"154,89",,,"Чуйская обл. Аламудунский р-н,                          с. Таш-Дебе, ул. Ала-Тоо,14,  тел.. 434176, дир. В.Ю. Якиманский","1. Якиманский С.Ю.-35 %, 2. Якиманский В.Ю.25 %, 3.Якубова М.М.-35 %, Государственная Домотсроительная корпорация ""Азат"" кооператив ""Домостроитель"" - 5 %                                                           ",,,,Перв.РОК       1299002790025971 кв.№286028   23.01.13г.,,,,Кыргызстан,Аннулирована.Протокол №72-Н-17 от 15.02.17г.,,,,,,,,,,,
17,НМ 68-01 пер.13.06.01 г.от 17.03.2006г до 17.03.2026 г.,Кувасайское месторождение,"ОсОО ""ЭСК ЛТД""","Ошская область,Ноокатский район",№ 6 от 18.03.2024г до 17.03.2026г ,Известняк,ЕР,"206,1 га",К-42-144,Протокол переговоров №32-Н-19 от 02.08.19г ЛС №6 Пр.№11-Н-2024 от 21.02.2024г   ,"Ошская обл., Ноокатский р-н, г. Ноокат,ул.Кызылкийская,б/н","гр. КР Тагаева А.С. - 50%, Орорзбаев А.И.-30%Эсенбеков Т.Э.-20%",нет,нет,,кв нет,ИНН 00106200110049,11 точек,11 точек,Кыргызстан,ТЕ,Зикиров А.А.,0770-461915,,,Бенефициары ,,,,,,
18,С-68-97 20.12.99  31.12.10,"Локальный уч. шх. поля 8/11 Сулюктинское м-е, Баткенская обл.,                           Лейлекский р-н","ГАО ""Сулюкту-шахтакурулуш""",,,уголь,Р,,,,,,,,,,,,,Кыргызстан,Аннулирована. Протокол №147-АН-10             12.03.10г.,,,,,,,,,,,
19,НМ 69-01 пер. 13.06.2001 г. от 17.03.2006г до 17.03.2026 ,Месторождение Карачатырское,"ОсОО ""ЭСК ЛТД"""," Ошская обл., Ноокатский р-н",№ 5 от 27.02.2024г до 17.03.2026г  ,глинистые сланцы,ЕП,"28,3 га",К-43-133,Протокол переговоров №80-Н-06 от 17.03.2006 г. ЛС №5 протокол №11-Н-2024 от 21.02.2024г ,"Ошская область, Ноокатский район, г.Ноокат,ул.Кызылкийская, б/н","гр.КР.Тагаева А.С.-50%, Орозбаев А.И.-30%,Эсенбеков Т.Э.-20%",кв нет,кв нет,,кв нет,ИНН 00106200110049,13246626  13246790  13246850  13247006   13247238  13247304  13247314  13247299  13247133  13246965  13246480  ,4466778   4466764  4466826  4466863  4466789  4466699  4466626  4466476  4466368  4466423  4466460,Кыргызстан,Аннулирована. Протокол №48-Н-2025 от 12.09.2025г ,Зикиров А.А.,555776540,г.Кызыл-Кия,,Бенефициары ,,,,,,
20,Аи 70-03 (2629 АР) от 21.05.10 г. до 31.12.20г. Бланк №000788 (2 папки),Аксурская площадь,"ОсОО ""Palladex KR""","Ошская обл., Узгенский р-н",№ 9 от 13.05.17 г. до 31.12.20 г.,"золото, серебро, платиноиды и другие металлы",Р,42000 га,"К-43-112, 113",Протокол переговоров №73-Н-10 от 12.05.10 г.,"Ошская обл., Алайский р-н, с. Терек","ОсОО ИК ""Линси"" - 30%, ОсОО ""Линбао Хуанцин"" - 70%",,,,Перв. РОК 1299002790025971 кв 201095 от 13.05.10 г.,ИНН 00702200710370,13402000  13410000  13410000  13417000  13417000  13422000  13422000  13400000  13400000  13402000,4530000  4530000  4524000  4524000  4514000  4514000  4505000  4505000  4526000  4526000,КНР,Аннулирована.протокол №35-Н-19 от 06.09.19 г.,,,,,,Выемка,,,,,
21,НМ 79-03 от 25.04.03 г. до 04.07.23 г.,Локальный участок Северного Кегетинского месторождения,"АООТ ""Кыргыз-Таш""","Чуйская область, Чуйский район",№ 2 от 14.07.03 г. до 04.07.23 г.,известняк,Е,"2,3 га",,Протокол переговоров №89-Н-03 от 24.04.03 г.,"г. Бишкек, ул. Садыгалиева 10 А","АООТ ""Кыргыз-Таш""",,,,,,15843          15844           15798           15725           15660          15666           15600          15587           15606          15618           15677          15725           15729            15771           15789,51767         51797            51852             51900           51922             51938               51948          51942           51873            51876           51824           51821           51779            51755             51763,Кыргызстан,Аннулирована.протокол №04-Н-2023 от 19.01.2023г,,,,,,,,,,,
22,С 81-97 пер.26.12.97 от 11.08.2025г до 14.06.2032г Бланк№001006,Локальный участок Западной части Кара-Кечинского буроугольного месторождения ,"ОсОО ""АК-ЖОЛ КОМУР""","Нарынская область, Джумгальский район",№7 от 11.08.2025г до 14.06.2032г,Уголь,ЕР,"19,46 га",К-43-78,Протокол №29-Н-2022 от 22.08.2022г. ЛС№6 Пр№63-Н-2023 от 20.10.2023г.          Протокол №35-Н-2025 от 25.07.2025г,"КР Нарынская обл. Жумгальский район, разрез Кара-Кече, урочище Токсон-Теке",гр.КР Курмантаев Алымбек Адилбекович 100%,нет,нет ,,ЦК МФКР 1299235030000515 30.09.2022 №100100050,ИНН 02403199910168,4618209  4618424  4618254  4618049,13477487  13478579  13478649  13477544,Кыргызстан,СЕ,Сасыкулов М.,"Тел. (772) 51-86-36, (03535) 60-27,  Факс (03535) 50-486",Байзакский а/а,,Бенефициар,Курмантаев Алымбек Адилбекович,"25.10.1986 г.р., КР AN 4569767, выдан МКК 50-41 от 30.06.2016г",без указания сведений ,"0776 431 111, 0559 380 370, rnk_092@mail.ru",100%,04.06.2025г
23,Аи 88-02 от 15.03.2021г до 31.12.2041г бланк №003597,"Месторождение ""Куру-Тегерек"" ","ЗАО ""КИЧИ-ЧААРАТ""","Джалал-Абадская область, Чаткальский район",№ 24 от 16.10.2025г до 31.12.2026г ,"золото, серебро и медь",ЕР,151 га,К-42-71,Протокол переговоров №138-Н-04 от 17.06.04г.ЛС №23 протокол №33-Н-2024 от 29.05.24г         Протокол № 54-Н-2025 от 08.10.2025г,"Джалал-Абадская область, Чаткальский район, с. Чакмак-Суу","ОсОО ""ТУН-ЛИН"" - 100%",,,ОАО РСК Банк пп. № 1131 от 06.06.2024г  1 000 000 сом,Перв. РОК 1299002790025971 кв 3036 от 29.09.08 г.,ИНН 01709199810150,38 точек,38 точек ,КНР,АЕ,Юй Юнцзюнь,"0312-484282,66-01-60,0312-596558",,,Бенефициар,Юй Юнцзюнь ,"гр. КНР, РЕ2229070, год рождения 19.11.1971г",Ген директор ,"Чуйская область, Аламудунский район, ж/м Эне-Сай, ул. Заречная 19А, телефон:0553646478, jodar.atantai@kichichaarat.com",100%,2025г
24,НМ 90-98 пер. 30.10.1998 г.         от 25.12.2025г до 25.12.2028г,"Месторождение ""Ыссык-Ата""","ЗАО ""Кум-Шагыл""","Чуйская область, Ыссык-Атинский район",№6 от 25.12.2025г до 25.12.2027г,ПГС,ЕР,"21,77 га",К-43-41,Протокол     № 582-Н-16 от. 23.11.2016 г.                        Протокол№ 68-Н-2025 от 12.12.2025г,"г. Бишкек, Верхний Кок-Жар","ЗАО ""Кум-Шагыл"" - 46 акционеров",нет,нет,,4402031001001017№97 от 24.01.2017г,ИНН 02303199310049,13494309  13494819  13494899  13494799,4738613  4738853  4738178  4738143,Кыргызстан,ТЕ,Кутманов Эрмек Осмонович ,312 52 92 17,Интернациональое а/а,,Бенефициары  (в лицензионном деле №2905 ТЕ),Всего 40 человеков без указание ФИО,нет,нет,нет,нет,нет
25,НГ-93-01       от 20.07.01-20.07.03г (2891-НП)    13.12.10       31.12.12г.   №00506 продление срока от 23.07.13 до 31.12.17 Бл.№00510,Акбуринская пл.  ,"АОЗТ ""ТЕКСТОНИК""","      Ошская обл.                                   Алайский Араванский, Каракульджинский Ноокатский               Узгенский р-ны",№2 23.07.13г.-31.12.17г.,нефть и газ,П,"4952,00","К-42-144, К-43-121,133,122,123,136,135,134",Протокол,"Джалал-Абадская обл., г. Кочкор Ата, ул. Транспортная, тел. 0555715618, исп. Дир. Чжан Цзе","ОсОО ""Сань Шань Юань"" - 100%",,,,Перв.РОК       1299002790034661 кв.№2304049   02.08.13г.,,,,КНР,Аннулирована. Протокол №87-Н-17 от 22.02.17,,,,,,,,,,,
26, НМ 99-98  пер.  04.12.1998 г.     от 14.10.2020 г. до 07.09.2040 г. Бланк №003320,"Восточная часть месторождения суглинков  ""Широкое""","ОсОО ""БКЗ""","Чуйская область, Московский р-н",№ 7 от 09.06.2021 г. до 07.09.2040 г.,суглинок,ЕР,"8,15 га",К-43-41,Протокол  №19-Н-2020        от 07.09.2020 г.,"г. Бишкек, ул. Рыскулова 79 Б",гр. КР Примов Бердибай - 100%,,,,1290053130021948 № 156                        от 03.09.2019 г.,ИНН 02308200610092,11 точек,11 точек,Кыргызстан,ТЕ,Эрматов Б,770 130 555,Беловодский а/а,,,,,,,,
27,НМ 104-04  пер. 12.05.2004 г.     от  10.10.2025 г. до  21.04.2036 г. Бланк №001110,Месторождение Караункурсай,"ОсОО ""Централ Минерал"""," Ошская область, Ноокатский р-н",№ 6 от 10.10.2025 г. до 22.12.2028 г.,глинистые сланцы,ЕР,"11,6 га",К-43-133,Протокол     №54-Н-16 от 12.02.2016 г.    Протокол №50-Н-2025 от 19.09.2025г,"г. Ош, ул. Ленина, №316","1. ОсОО "" JAIDARY TULPOR"" -  50%,  2. ОсОО ""MAKS PRO STROY"" - 50%","1290394131640047   №  360 от. 02.10.2015 г.,      ОАО МБАНК 103202001100001 пп. № 22 от 20.11.2025г","98760,24 сом        214 952,10 сом       ","ОАО ""Элдик Банк"" 1290563130412029 остаток на 09.12.2025г составляет 1465109сом 39 тыйын. ", 1299005030000188 № 36700092             от 06.06.2016 г.,ИНН 02507202510313,4468510    4468505   4468163   4468278   4468416,13247185    13247507   13247450   13247045  13247065,Кыргызстан,ТЕ,Каримов Уткиржон Эргашалиевич,998 93 9807747,Кок-Жарский а/а,,Бенефициары ,Трусевич Денис Юрьевич,Республика Казахстан ,без указания сведений ,"РЕспублика Казахстан, г.Алматы, проспект Гагарина, дом 148, кв 55   +77018001113 Dtrussevich@unicementgroup.com ",100%,20.01.2022г
28,НМ 117-04 пер.  26.05.04 г.           от  16.02.2024г до 03.09.2039г бланк Дубликат №000314,"месторождение ""Кара-Корум-2""","ОсОО ""БАНАДА"""," Джалал-Абадская область, Чаткальский район",№ 10 от 04.03.2025г до 03.09.2039г,Волластонит,ЕП,"5,7 га",К-42-82,"Протокол №12-Н-2022 от 30.04.2022  ЛС №8  протокол №08-48/3 от 19.01.2024г., Протокол №09-Н-2025г","г. Бишкек, 8 мкр. 32/1 кв. 1","гр. КР Байтаков Б.К. - 17%, Байтакова А.А. - 17%,Куперскух Н.Б.-16,5%, Байтаков А.Б. - 16,5%,Тайтелиева Д.Б.-16,5% Байтакова А.Б. - 16,5%, ",1299005950003055 № 286500104  от. 01.07.2022 г.,880 700 сом,"ОАО ""Элдик Банк"" 1290343130021565       1500сом;", 1299005950000025 № 100600072  от 19.04.2022 г.,ИНН 03008199410123,12643795 12644055 12644100 12643910,4631775 4631775 4631555 4631505,Кыргызстан,ТЕ,Байтакова А.Б.,777 270 046,Чаткальский а/а,,Бенефициары ,1.Байтаков Бектур Канбалович         2. Байтакова Алымкан Абдыковна        3.Курперссхук Надия  Бектуровна          4.Байтаков Азамат Бектурович           5.Тайтелиева Динара Бектуровна         6. Байтакова Анипа Бектуровна ,1.КР; 2. КР; 3.Королевства Нидерланды; 4.КР; 5.КР;  6.Королевства Нидерланды;,без указания сведений ,"1) г. Бишкек,8 мкр, д 32/1, кв 10;          2) г. Бишкек,8 мкр, д 32/1, кв 10;            3) Королевства Нидерланды, г.Гауда, ул.Молонейнд, д 15;                                4)г. Бишкек, ул. Т.Молдо, дом 6, кв 37;                                  5)г. Бишкек,8 мкр, д 32/1, кв 10;           6) Королевства Нидерланды, г.Лейден, ул.Домела Ньювенхауслан, д 13","1) 17%/17%;   2)17%/17%;   3)16,5%/16,5% ;    4)16,5%/16,5%;      5)16,5%/16,5%;    6)16,5%/16,5%;",16.01.2024г.
29,Аи 118-03 (3478 АР) от 06.06.03 г. продление срока до20.01.23г. Бланк №002808,Месторождение Апрельское,"ОсОО ""Апрельская ЭйЗетАй""","Баткенская обл., Лейлекский р-н",№ 14 от 14.10.22г до 20.01.23г ,золото,Р,"352,1 га","J-42-8, 9",Протокол №20-Н-2022 от 05.07.2022г,"г. Бишкек, ул. Шопокова 29/1","Единственный учредительАО ""Фонтелуна"" - 100%",,,,Перв. РОК 1299235000003263 кв 215900035 от 27.05.08 г.,ИНН 00102201610200,12 точек,12 точек,Кыргызстан,Аннулирована. Протокол №19-Н-2023 от 17.03.2023г,,,,,,,,,,,
30,С-136-04            16.06.04          25.07.11,"Локальный участок гор.+1180  Алмалыкского м-я, Ошская обл.                      Ноокатский р-н","ОсОО ""Шахта Алмалык""",,,уголь,Р,,,,,,,,,,,,,,Аннулирована. Протокол №147-АН-10             12.03.10г.,,,,,,,,,,,
31,Аи 141-04 (Аu 13-03) от 11.05.11 г. до 31.12.11 г. Бланк №00581                        (на контроле),Месторождение Андаш,"ОсОО ""Андаш Майнинг Компани""","Таласская область, Таласский район",№ 5 от 11.05.11 г. до 31.12.11 г.,золото и медь,Р,4900 га,"К-43-50, 51",Протокол Комиссии №143-Н-04,"Таласская обл, г. Талас, 59 квартал №7/16","Учреждено Компанией ""Калдора Компани Лимитед"" зарег. На Британских Виргинских Островах - 80%, ОсОО ""Инвестцент-Талас"" - 10% и Компания ""Трейден Интернешнл Лимитед"" - 10%",,,,кв 201040 от 30.11.10 г.,,4713500  4713000  4707000  4707000,13330000  13340000  13340000  13330000,,Аннулирована.протокол № 9-Н-19 от 19.03.2019 г.,,,,,,,,,,,
32,Au 146-01 пер.22.10.01 г.от 16.01.2023г до 22.10.2032 г. бланк №000350,"месторождение ""Макмал""","ОсОО ""Макмал Голд Компани""","Джалал-Абадская область, Тогуз-Тороузский район",№ 9 от 22.10.2024г до  22.10.2032г,Золото,ЕР,268 га,К-43-100,протокол №35-Н-2022 от 07.09.2022г. ЛС №9 протокол №61-Н-2024 от 04.10.2024г,"Жалал-Абад.обл., Тогуз-Тороуский р/н, с. Казарман","ОАО ""Кыргызалтын""-100-% ",,,,кв.нет,ИНН 02609201810017,22 точки,22 точки,Кыргызстан,АЕ,Асеинов Руслан Бекболотович,"0312-293948,0551-998888,0505405041",,,,,,,,,
33,Передача Аи 156-02 (2028 АЕ) от 22.09.08 г. до 31.12.20 г. Бланк №001374 ,Месторождение Верхний Карабулак,"ОсОО ""ELKO-service LIMITED""","Чуйская область, Панфиловский район",№ 7 от 01.02.18 г. до 31.12.20 г. ,россыпное золото,Е,27 га,К-43-64,Протокол переговоров №09-Н-2021 от 03.05.21 г.,"г. Бишкек, ул. Беларусская 38",гр. КР Жетенбаева Алтынай Гуламановна - 100%,,,,Перв. РОК 1299002790025971 кв 44180 от 11.09.08 г.,ИНН 00811200110141,13399907  13399955  13400042  13400087  13400093  13400156  13400254  13400277  13400299  13400318  13400365  13400382  13400293  13400112  13400192  13400193  13400158  13400085  13400061  13399958  13399796  13399713  13399727  13399838  13399940  13399919  13399961    ,4687081  4687094  4686876  4686687  4686536  4686323  4686173  4686181  4686095  4686095  4685949  4685649  4685345  4685435  4685666  4685915  4686131  4686105  4686277  4686469  4686485  4686570  4686600  4686573  4686559  4686679  4686876  ,Кыргызстан,Аннулирована.Протокол №09-Н-2021 от 03.05.21г.,,,,,,Выемка ,,,,,
34,НМ-159-04  15.07.04  15.07.09,"Мадынское м-ние суглинков, Ошская обл.. Карасуйский р-н","ОсОО ""Даннур-Юг""",,,суглинок,Р,,,,"714000, Г. Ош, ул. Курманжан-Датки, 181, кв.9. Директор Арапбаев А.А.",,,,,,,,,,Аннулирована.протокол №18-Н-19 от 25.04.19 г.,,,,,,,,,,,
35,Au-163-03 (3502 МП)  29.01.03 г. до 20.03.19г. Бланк №02427,Месторождение Бозымчак,"ОсОО ""КАЗ Минералз Бозымчак""","Жалалабатская область, Алабукинский район",№ 9 от 11.01.15 г. до 20.03.19 г. ,"золото, медь, серебро ",П,1600 га,К-42-107,Протокол переговоров №716-Н-08 от 22.01.08 г.   ,"г. Бишкек, ул. Тыныстанова 197/1",Компания Китко Би Ви (Нидерланды),,,"ОАО Айыл Банк р/счет № 1350100020033055 остаток на 26.09.2025г составляет 19 052,00  долларов",Перв. РОК 1299285030000128 кв 2000092 от 22.01.16 г.           ,ИНН 02606200310117,4573000  4573000  4569000  4569000,12671000   12675000   12675000   12671000,,Аннулирована.протокол №18-Н-19 от 25.04.19 г.,,,,,,,,,,,
